dialect,standard
まちなげえ,待ち遠しい
待ちなげえ,待ち遠しい
まっと,もっと
まっぴい,真っ青
まっぽし,丸見え
まつぼり,へそくり
まてえ,鈍い
まどろしい,まどろっこしい
まばいい,まばゆい
まぶにねえ,普通でない
まぶにねえ,当たり前でない
まみれん,なじまない
まめえしちょけ,放っておけ
まめろしい,まめまめしい
まるっと,丸ごと
まれけ,稀に
まんがいい,運がいい
まんが悪い,運が悪い
まんがわるい,運が悪い
みいち,向いて
みいち,剥いて
みちみない,見てみなさい
みっくる,見つける
みてちくる,満ちてくる
みとうじ,見たくて
みとうねえ,見たくない
みみょうかせ,耳を貸せ
むがむとう,むやみやたら
むがむとう,むちゃくちゃ
むがむとう,過度に
むぎい,味が濃い
むきべら,お世辞
むけえ,向こうに
むげながる,可愛がる
むげながる,可哀想に思う
むげねえ,可哀想
むこうづら,額
向こう面,額
向こうづら,額
むこじょう,婿さん
婿じょう,婿さん
よめじょう,嫁さん
嫁じょう,嫁さん
むすくれっとする,不愛想な表情をする
むてえな,ご無体な
むてえな,理不尽な
むとうな,不当な
むとうな,適切でない
むどなぎい,可哀想
むどなぎい,気の毒だ
むどらしい,可愛らしい
むどらしい,愛くるしい
むねがふとる,悲しくなる
胸が太る,悲しくなる
むりこしゃりこ,無理やり
めえた,まいた
めえばん,毎晩
めえやく,迷惑
めがつむ,細かく計算する
めがつむ,節約する
めかど,見る目
めって,滅多に
めってえ,滅多に
めってんこつ,滅多なこと
めとんぼがまう,目が回る
目トンボが舞う,目が回る
めのこしがおるる,疲れる
目の腰がおるる,疲れる
めをこするほど,短時間
目を擦るほど,短時間
めんどしい,恥ずかしい
もうから,こんなに早くから
もうけだす,財を築く
儲けだす,財を築く
もがう,逆らう
もってえねえ,勿体ない
もてん,やりきれない
もてん,たまらない
もどかす,からかう
もな,とても
もな,すごく
やあけど,だけど
やけど,だけど
じゃあけど,だけど
やええ,軟い
やえくろしい,ややこしい
やえこっちゃねえ,容易でない
やおいかん,しっかりしている
やおねえ,面倒くさい
やおねえ,容易でない
やきいたたん,役に立たない
やくうせん,役に立たない
やしい,安い
やせぎし,痩せぎす
やぜん,昨夜
やつがい,晩酌
やっけねえ,不憫だ
やっけねえ,情けない
やっしゃきる,啖呵を切る
やっちゃ,やつだ
やっちょられん,やってられない
やりくりかやす,し損なう
やりつくる,体力が尽きて倒れる
やんない,やりなさい
やんやん,やいのやいの
ゆうさ,夕方
ゆうじゃ,暇だ
ゆうちみい,言ってみろ
ゆうてかす,言って聞かす
ゆうてんが,そうは言っても
ゆうなし,暇な人
ゆうなる,良くなる
ゆっちゃいてえ,言ってやりたい
ゆらこし,なみなみと
ゆらこし,溢れるほど
ゆるうじょる,緩んでいる
ゆるくてえ,だらしがない
食べよ,食べなさい
行きよ,行きなさい
よいくろう,酔っ払う
酔いくろう,酔っ払う
ようねえ,良くない
よおけ,沢山
よがむ,歪む
よきい,避けろ
よきい,横に
よくとれ,欲張り
よくどれ,欲張り
よけなる,横になる
横になる,ふてくされる
よこはる,意地を張る
よこう,休む
よしゃく,会釈
よしれん,とんでもない
よしれん,つまらない
よそんし,よその人
よだきい,面倒だ
よだきい,きつい
よだきい,疲れる
よだけしよ,うるさいよ
よど,前夜
よどる,あやす
よなかづくる,熟睡する
夜中づくる,熟睡する
よなけえ,夜中に
よろうち,連れ立って
よんがなよどおし,徹夜で
よんなう,集まって加勢する
よんべ,昨夜
ゆんべ,昨夜
らいしん,来年
らっしょもねえ,いい加減な
らっしょもねえ,だらしない
だっしもねえ,いい加減な
だっしもねえ,だらしない
りこもん,利口者
られん,られない
ろくする,あぐらをかく
ろくそねえ,ずさんな
ろくそねえ,雑な
ろくでんねえ,ろくでもない
わあ,ですよ
でけんわあ,できないですよ
のやわあ,ですよ
わかっつろう,分かったろう
わきあがり,お調子者
わくど,カエル
わごみでる,はみ出す
わさご,おませさん
わっきゃねえ,わけない
わなあ,だよね
わや,むちゃくちゃ
わやく,いたずら
わらかす,割る
わるがね,悪童
われ,お前
われがん,あなたの
わんかたん,あなた方の
あんたかたん,あなた方の
どげえかえ？,どうですか？
ほなまた,じゃあまた
どげえか,どうにか
なんしよん,何をしている
なんしよんの？,何をしているの？
着ち,着て
思うたで,思ったよ
どこ行きな？,おでかけですか？
頭つんじ,散髪
なんな？,何？
県庁行き,県庁に行く
違うちゃ,違うって
ほな,じゃあ
そらよかろう,そうなんだ
なんかえ,なんだって？
いいえなこと,とんでもない
しちょろう,してるだろう
わりいけど,悪いけど
安う,安く
見ゆんで,見えるよ
ぬきいなえ,あたたかいねえ
ちゅうか,というより
ふうたらぬきい,生ぬるい
咲いちょらん,咲いていない
降りよる,降っている
洗わんじ,洗わんで
じゃあけん,だから
太っちょる,太っている
おじいなあ,怖いなあ
昔ん人,昔の人
じゃあじゃあ,そうそう
行きよる,行っている
ごたるなあ？,ようだなあ？
おるちゅうた,居るそうだ
お金んじょう,お金ばかり
起こらんごたる,起こらないようだ
誰かえ？,誰かい？
食べよん,食べている
食べよんのじゃ,食べているんだ
飲みよる,飲んでいる
飲みよるけん,飲んでいるから
入っちょん,入っている
入っちょんで,入っているよ
ほうな,そうか
それじ,それで
なんぼな？,おいくらですか？
張るで,張るよ
なんぼなんでん,いくらなんでも
買えん,買えない
持っち,持って
来たんな？,来たんだ？
なんぼ,いくら
がなある,それだけの価値ある
がな,ほど
がな,だけ
ねえで,ないよ
きびって,結んで
きびっちょくれ,結んでくれ
ひとりじ,一人で
持ちやしい,持ちやすい
ようけ,たくさん
獲るるでえ,獲れるよ
おろ,おや
いつん間に,いつの間に
食うかえ？,食うかい？
ほげ,嘘
わりい,悪い
釣れんでん,釣れなくても
かんまん,構わん
しよるけん,してるから
わしゃ,わしは
しよんのかえ？,しているのかい？
言うち,言って
ほげんじょう,嘘ばかり
しょわねえかえ,大丈夫かい
つかまんない,つかまりなさい
来たんな？,来たんだ？
来んのな？,来るのか？
見すん,見せる
ここん,ここの
ところじ,ところで
行っちょんのや,行ってるんだ
そしちかい,それで
帰っち,帰って
くるんかえ？,くるのかい？
遅うなる,遅くなる
たんねた,尋ねた
読みきらん,読むことができない
降りち,降りて
たんねち,尋ねて
みらいいわ,みればいいわ
わからんなった,分からなくなった
おるんやろか？,いるのだろうか？
なっちょった,なっていた
ちょったら,ていたら
いかいい,行けば良い
来ちしもうた,来てしまった
戻られん,戻れない
過ぎちょんで,過ぎてるよ
いいち,良いと
言われたけん,言われたから
そらどうか,それはどうか
へもどりてえ？,戻りたい？
やねんな？,ではないの？
あっちさ,あっちに
こっちさ,こっちに
へもどっち,戻って
へもどらな,戻らないと
帰ら,帰れば
言うた,言った
やねえな,じゃないか
やねえか,じゃないか
仕方ねえ,仕方ない
着くわい,着くよ
騒いでん,騒いでも
のぞ,んだぞ
来とう,来たく
持っちょけ,持っておけ
かっせち,手伝って
押し切りめえ,押せないだろう
かっせん？,手伝わない？
起こしてな,起こしてね
寝ちょけ,寝ておけ
いけんので,いけないからね
こげえある,こんなふうにある
こげえあんのじゃろうか,こんなふうなのだろうか
寝ちょん,寝ている
あげえあった,あんなふうだった
あこうなる,赤くなる
今でん,今でも
いっこん,ひとつも
しちねえ,してねえ
ありがてえんぞ,ありがたいんだぞ
やん,じゃないか
でん,でも
ほんとじゃ,本当だ
喋りよっち,喋っていて
来ちょった,来ていた
来ちょってたん？,来ていたの？
ちょられん,られない
とりおうちょられん,取り合ってられない
じゃあにい,なのに
じゃったにい,だったのに
きびっちゃる,結んでやる
ほげた,空いた
ほげた,穴が空いた
ほいだ,穴を空けた
ほいだ,空けた
ほぐ,掘る
ほぐ,空ける
いちべえ,一段と
晴れちょんけん,晴れてるから
晴れちょん,晴れている
よう見ゆん,良く見える
言われてん,言われても
言われてん,言われてね
よう来ちくれたのう,よく来てくれたねえ
なっち,なって
暮らさいい,暮らせばいい
こか,ここは
できるけん,できるから
ぼやあっと,ぼんやりと
ち言われた,と言われた
ち言う,と言う
しちょっち,していて
しちょられん,してられない
しちょられんのど,してられないんだぞ
できたど,できたぞ
焼けたど,焼けたぞ
言いよん,言っている
言いよんやねえか,言っているじゃないか
こいたいけん,これはいけない
バレちょん,バレている
もろうち,貰って
けんなあ,からなあ
味おうて,味わって
わかっちねえ,分かってない
んじゃろ？,んだろう？
食うちょくれ,食べてくれ
思うちょくれ,思ってくれ
もろた,貰った
跳ぶんぞ,跳ぶんだぞ
跳ぶちゃ,跳ぶって
ちっとずく,少しずつ
1個ずく,1個ずつ
ちょっとずく,ちょっとずつ
行かんずく,行かないまま
せんずく,しないまま
飲ましち,飲ませて
好きなん,好きなのを
わりいぞ,悪いぞ
ねえけん,ないから
たけえんぞ,高いんだぞ
うめえんで,美味しいんだよ
いただくけん,いただくから
こりゃ,これは
されちょる,されてる
釣っち,釣って
すぐん,すぐの
それち,それっと
んこと,のこと
噛まるんど,噛まれるぞ
離さんど,離さないぞ
急いじ,急いで
呼んじ,呼んで
ようにちな,ようにとな
しちょんのやな,してるんだな
食べやすう,食べやすく
ひとくちサイズじ,ひとくちサイズで
ちゅう言葉,という言葉
あんたん,あなたの
ふがよかった,運が良かった
空いちょん,空いている
じゃけど,だけど
するけん,するから
よかろうか？,いいだろうか？
かまわんで,構わないよ
ふうがわりい,不機嫌な
かのう,かなあ
食わいい,食えばいい
なし、,なんで、
ふうがわるう,不機嫌に
なるかやあ,なるかなあ
あげえ,あんなに
ようあげえ,よくあんなに
ようこげえ,よくこんなに
ようそげえ,よくそんなに
よう食う,よく食う
入らんか,入らないか
いけんの,いけないの
うるせえんじゃ,うるさいんだ
言うちみよ,言ってみろ
つこう,使う
つこうちょん,使っている
ちょんのど,ているんだよ
ちょろう,ているだろう
ちょろうがえ,ているだろうが
ちしもうた,てしまった
帰っちこん,帰ってこない
んな？,のか？
まるなり,まるごと
ひんのまん,飲み込む
ひんのまんならん,飲み込まないとならない
噛まん,噛まない
うちん,うちの
するんで,するよ
いぬるで,帰るよ
いなさん,帰さない
いなん,帰らない
いのうか,帰ろうか
いんだら,帰ったら
いなんのか,帰らないのか
知らん,知らない
いによった,帰っていた
ちゅうて,といって
じゃから,だから
いんだんかえ,帰ったのかい
