dialect,standard
審判が見えてない時に、大人数からけたくられた,審判が見えてない時に、大人数から蹴られた
けだらしい外交じゃ,だらしない外交だ
あいつが女房のけちいしかるんのには、わけがあるんで,あいつが女房の尻に敷かれるのには、わけがあるんだ
バーゲンで買ったシャツやけど、けっかいい,バーゲンで買ったシャツだけど、案外いい
高齢者の方が、けっく体が丈夫やったりする,高齢者の方が、結構体が丈夫だったりする
あのげってんが、文学賞を取ったんかえ？,あのあまのじゃくが、文学賞を取ったのかい？
しらしんけん急いだけどが、バスに間に合わんかった,懸命に急いだけれども、バスに間に合わなかった
ようそげなけとろく考えつくこっちゃ,よくそんなつまらないことを考えつくことだ
計画停電も盆休み中は、やらんげな,計画停電も盆休み中は、やらないそうだ
けねん生まれた子が、もう歩き出したんかえ？,去年生まれた子が、もう歩き出したのかい？
カラオケで必要以上にけばるのも考えものだ,カラオケで必要以上に気張るのも考えものだ
あん人を待たせると悪いけん、わしだけ先にいっちょくけん,あの人を待たせると悪いから、わしだけ先に行っておくから
隣の家に勝手に上がってお茶を飲むとは、なんちゅうけんたいじゃ,隣の家に勝手に上がってお茶を飲むとは、なんという横柄だ
寒い季節は、母ちゃんのけんちゃんに限る,寒い季節は、母ちゃんのけんちん汁に限る
今日はまた、県庁行ききち、なにごとな,今日はまた、晴れ着を着て、何事だ
けんつうしよると、いつかやり返さるる,意地悪してると、いつかやり返される
仲直りしたけんど、相変わらず会話はない,仲直りしたけれど、相変わらず会話はない
次男だけ顔がこいいのはなしかのう,次男だけ顔が濃いのはなぜかなあ
こいさ、川べりで盆踊りと花火大会がある,今夜、川べりで盆踊りと花火大会がある
こいた参った,これは参った
そいたどげえするつもりな,そいつをどうするつもりだ
いつもの店から、豆腐をこうちくる,いつもの店から、豆腐を買ってくる
水泳大会で溺れたちゃ、こうべんねえやつじゃ,水泳大会で溺れたとは、要領が悪いやつだ
ごうらがたけえと、話が隣に筒抜けになる,声が高いと、話が隣に筒抜けになる
運動会で走ったら、今日もまだからだがこええ,運動会で走ったら、今日もまだ体がだるい
こうらどうか、こんちらかりようは,これはどうした、この散らかりようは
わしゃ、あんしとはごがすかん,わしは、あの人とは相性が悪い
今になってあのマニフェストを読むと、ごがすく,今になってあのマニフェストを読むと、腹が立つ
焼肉は、こがるるくらい焼いたのが好きじゃ,焼肉は、焦げるくらい焼いたのが好きだ
こきあったスリッパは、どきやったんか,ここにあったスリッパは、どこにやったのか
古くぎを再利用しようとしたが、ごきいたたんかった,古くぎを採用しようとしたが、役に立たなかった
つえついて行きよ、こくるといけんけん,杖をついて行くといいよ、こけるといけないから
友達同士で初詣に行き、一緒に鳥居をこぐる,友達同士で初詣に行き、一緒に鳥居をくぐる
キャンプから帰って、風呂でこけを落とした,キャンプから帰って、ふろでアカを落とした
なしこげな目にあわないけんのかのう,なんでこんな目にあわないといけないんだろう
風邪で寝込むわ、旅行にはいかれんわ、こげんこたあねえ,風邪で寝込むわ、旅行には行けないわ、こんなことはない
ここじばんじ、どこじ飛ぶ,ここで飛ばずに、どこで飛ぶ
引き出しの小銭をこさぎ集めたら電車賃が出た,引き出しの小銭をかき集めたら電車賃が出た
こしきい人は、人気がねえ,ずるい人は、人気がない
ごじぶんにきてしもうち、悪かったなあ,食事時に来てしまって、悪かったな
わしのしろうと栽培でできたミカンでこそあれ,わしの素人栽培でできたミカンのまさにそれ
夏にはこそぐりの木にピンクや白の花が咲く,夏のサルスベリの木にピンクや尻の花が咲く
掌でカナブンが歩くと、こそばいい,掌でカナブンが歩くと、くすぐったい
ほほをこそぶる風に春を感じるこの頃です,ほほをくすぐる風に春を感じるこの頃です
学校の給食は、こそろもそろ食べなさい,学校の給食は、全部残さず食べなさい
炎天下にカボス味のかき氷ちゃ、こたえんのう,炎天下にカボス味のかき氷とは、すごくいいなあ
朝も早く犬とは知ると、こたゆるがなあ,朝も早く犬から走ると、疲れるわな
このホームランで、試合は決まったごたる,このホームランで、試合はきまったようだ
情けねえじ、なこうごたる,情けない、泣いているようだ
経済制裁なんかしても、こたわんごたるぞ,経済制裁なんかしても、影響を受けないようだぞ
思い出してごらん、あんなごつ、こんなこつあったでしょう,思い出してごらん、あんなこと、こんなことあったでしょう
火事だちゅう声を聞いて、こっけむっくえり駆け付けた,火事だという声を聞いて、あわてふためいて駆け付けた
無礼講じゃ、ごっこん飲め,無礼講だ、どんどん飲め
クリスマスパーティーの、ごっそうが楽しみじゃ,クリスマスパーティの、ごちそうが楽しみだ
椅子は、こっちべたから並べちくりい,椅子は、こっち側から並べてくれ
うちの息子は筋肉隆々で、こってのごたる,うちの息子は筋肉隆々で、雄牛のようだ
そげなへっぴり腰では、こてえならん,そんなへっぴり腰では、役に立たない
あっこん跡継ぎはごてしんやけん心配やなあ,あそこの跡継ぎは怠け者だから心配だなあ
サルは、寒い日にはみんなでこてまる,サルは、寒い日にはみんなで固まる
ようこなしちくれた,よくいじめてくれた
倍にして返しちゃる,倍にして返してやる
まめに水を変えてやらんと、金魚がごぬるで,まめに水を変えてやらないと、金魚が死ぬよ
足首をこねると、なかなか治らんでえ,足首をくじくと、なかなか治らないよ
日曜日の勉強は、こびりが楽しみ,日曜日の勉強は、おやつが楽しみ
修学旅行を前に、注意事項のこぶれに選ばれた,修学旅行を前に、注意事項の連絡係に選ばれた
こべえよう、一輪車に乗れた,要領良く、一輪車に乗れた
注射は痛いけど、泣かんでこらいい,注射は痛いけど、泣かないでこらえろ
あの選手は、こらえじょうねがあるのが売り物や,あの選手は、我慢強いのが売り物だ
おごめん、こりおくれ,ごめんください、これおくれ
どりな,どれな
そりじゃがえ,それだよ
ごろじい、一生懸命練習した手品じゃけん,ごらんください、一生懸命練習した手品だから
日曜日の約束を、ころっと忘れちょった,日曜日の約束を、すっかり忘れてた
こん話は、近いうちこわくるで,この話は近いうちに壊れるよ
おにぎりとこんこは相性がいいなあえ,おにぎりとたくあんは相性がいいな
暖かくなったら、花の苗をとりにこんせ,暖かくなったら花の苗を取りに来てください
うどんに、ごんぼの天ぷらがあうなあえ,うどんに、ごぼうの天ぷらがあうなあ
こんめえ子相手に、そげなこんめえこたいいめえ,幼い子相手にそんな小さい事いいまい
こんやた、まだ人をいじめたりしよんのか,この野郎、まだ人をいじめたりしてるのか
さあさあ、今年はいつまでも暑かったなあ,そうそう、今年はいつまでも暑かったなあ
久しぶりの休みに、さあのまきじゃ,久しぶりの休みに、急用だ
釣竿を少しこっちにさいだすと手が届く,釣竿を少しこっちに差し出すと手が届く
じいちゃんは百歳やけど、さかしいなあ,じいちゃんは百歳だけど、元気だなあ
瓶をさかしめしてみたが、酒はのこっちょらん,瓶をさかさまにしてみたが、酒は残っていない
荷物を広げさがす,荷物を広げ散らかす
弁当を食いさがす,弁当を食い散らかす
人にものをやりさがす,人にものをやり散らかす
さかとんぼりしてん、自家用ジェット機は買い切らん,逆立ちしても、自家用ジェット機は買いきれない
もうじき、そこのさかんひらに桜が咲く,もうじき、そこの斜面に桜が咲く
さきのばんのテレビドラマは面白かった,一昨日の晩のテレビドラマは面白かった
動きがさじい,動きが素早い
竹の枝をさするのは、なたの刃のない方でいい,竹の枝をたたき切るのは、なたの刃のない方で良い
冬は、毎朝落ち葉をさずるのが大変ですわ,冬は、毎朝落ち葉をかき集めるのは大変ですわ
慣れん馬にいきなり乗ると、さぜくりおつるで,慣れない馬にいきなり乗ると、思いっきり転落するよ
雨が降り出したから洗濯物をさぜこめ,雨が降り出したから洗濯物をかき込め
そげえさっからさきに文句んじょう言わんでくるる,そんなに次から次に文句を言わないでくれる
昨日、港の堤防でアジをさであぐるのを見たで,昨日、港の堤防でアジを次々釣り上げてるのを見たよ
田植えはきちいが、さなぼりは楽しみじゃ,田植えはきついが、田植え後の骨休みは楽しみだ
難題をさばくる大臣がおらんかなあ,難題を捌ける大臣がいないかなあ
こげえさびいと、冬物を出さんならん,こんなに寒いと、冬物を出さないといけない
今年初めてかき氷を食べたら、さぶさぶがでた,今年初めてかき氷を食べたら、鳥肌が立った
我が家はいつも散らかっちょって、ざまあねえ,我が家はいつも散らかってて、だらしがない
海外から帰ると、ざまむねえコインがたまる,海外から帰ると、たくさんコインがたまる
小麦粉がさむいけん、近くの店でこうてきて,小麦粉が足りないから、近くの店で買ってきて
あんしとわしは、さんげんあしの友じゃ,あの人とわしは、竹馬の友だ
向こうから来る男んしは、どこんしかえ？,向こうから来る男の人は、どこの人かい？
よし、兄ちゃんが少してつどうちゃる,よし、兄ちゃんが少し手伝ってあげる
父ちゃんがかえっちくるまでに宿題しちょくで,父ちゃんが返ってくるまでに宿題をしておくよ
帰ったら遊ぶより宿題を先にしい,帰ったら遊ぶより宿題をさきにしなさい
うちの猫は、ばあちゃんをしいちょる,うちの猫は、ばあちゃんを好いている
秋口に台風が来ると、稲穂にしいらがふゆる,秋口に台風が来ると、稲穂に実っていないもみが増える
ほら吹き大会じ、しいらぐちをたたいた,ほら吹き大会で、軽口をたたいた
あん、しかきい顔のおいさんは誰かえ？,あの四角い顔のおじさんは誰かい？
家の手伝いを、しかつせんじから遊びまわる,家の手伝いをちゃんとせずに遊びまわる
鉢からじかつぼに移したら、花が元気になった,鉢から地面に移したら、花が元気になった
しかともしれんことでも、しらしんけんやる,くだらないことでも、一生懸命やる
うちゃあ、携帯はしきるが、パソコンはしきらん,うちは携帯はできるが、パソコンはできない
あんしは痩せんはずじゃ、じぐちがねえ,あの人は痩せないはずだ、節度がない
しこするより、人格を磨きよえ,支度するより人格を磨こうよ
木がしこる,木が茂る
荷がしこる,荷がかさばる
しこった格好をする,構える格好をする
文化の日の朝ぐらいが、ししらさみいなあえ,文化の日の朝ぐらいが、なんとなく寒いなあ
ゲームはするが、勉強はしたむながる,ゲームはするが、勉強はしたがらない
そげなことしちから、また母ちゃんに怒られようち思うち,そんなことして、また母ちゃんに怒られると思うよ
あんしの話は、しちくじい,あの人の話は、くどい
お札を両替しちくれんし,お札を両替してください
隣のおいさんは、しちげってんじゃから、機嫌のいい日に頼むんがいいで,隣のおじさんは、大偏屈者だから機嫌のいい日に頼むのがいいよ
今度こげなことしちみい、どげんこつになるか,今度こんなことしてみろ、どんなことになるか
大勢の前で歌詞を間違って、しちもんどしい,大勢の前で歌詞を間違って、めんどうしい
母ちゃんの車のタイヤを交換しちゃれ,母ちゃんの車のタイヤを好感してあげて
若いうちに勉強しちょけ,若いうちに勉強しておけ
予習しちょらんけん分からんのじゃねえんな,予習してないから分からないんじゃないのか
何をするにも、じちょをいるることが大切じゃ,何をするにも、気合を入れることが大切だ
梅雨前にやる畑仕事は、もう全部しちょん,梅雨前にやる畑仕事は、もう全部完了している
床上浸水で、家中がしっかんがっちゃんじゃ,床上浸水で、家中がしっちゃかめっちゃかだ
あんしはじってかえから、会計をしてもらおう,あの人は実直だから、会計をしてもらおう
雨がこう降ると、しとめんなあ,雨がこう降ると、耐えられないなあ
あんたん言うことは、いつも、じなしじゃ,あんたの言うことは、いつも、無責任だ
先生が生徒に体罰なんか、しなんな,先生が生徒に体罰なんか、しないで
仲間はずれにするような、しねくされは禁止じゃ,仲間はずれにするような、いじわるは禁止だ
しねっとやるより、正面突破がよかろう,こっそりやるより、正面突破が良かろう
手のかすり傷は、じねんと治った,手のかすり傷は、自然と治った
大雨ん中をはしっち帰ったら、革靴がしのじゃ,大雨の中を走って帰ったら、革靴が廃棄物だ
ゴルフは、しびくように打つと飛ぶっちゅうで,ゴルフは、しばくように打つと飛ぶっていうよ
母ちゃんのお説教きいちょったら、しびりが切れた,母ちゃんのお説教聞いていたら、しびれが切れた
うちの犬は喜びすぎると、しびる,うちの犬は喜びすぎると、ちびる
ダイコンを天日に干したら、しぼなゆる,ダイコンを天日に干したら、しなびる
うちん犬はどこでんここでん垂れ流して、しまたつかん,うちの犬はどこでもここでも垂れ流して、始末がつかない
長雨で、しめしが乾かん,長雨で、おむつが乾かない
あいたしもうた、携帯おいちきた,ああしまった、携帯置いてきた
じゃあじゃあ,そうだそうだ
家族じゃあに、何遠慮することあるかえ？,家族なのに、何遠慮することがあるかい？
柔道は始めたばかりじゃけん、勝てんでもしゃあねえ,柔道は始めたばかりだから、勝てなくても仕方ない
神棚にしゃかきを供えて、柏手を打つ,神棚に榊を供えて、柏手を打つ
ゴム風船がいつの間にか、しゃげちょん,ゴム風船がいつの間にか、つぶれてる
晴天は気持ちいいじゃけんど、雨が降らんと水不足になる,晴天は気持ちいいけど、雨が降らないと水不足になる
団体行動が苦手じゃあに、みんなが旅行に、しゃっち誘う,団体行動が苦手なのに、みんなが旅行に、無理に誘う
国会のやじは、答弁のじゃめなる,国会のやじは、答弁の邪魔になる
しゃりむり増税することはなかろうに,遮二無二造成することもないだろうに
反省しちょるち？,反省してるって？
じゃろう、じゃろう,だろう、だろう
嫁さんがしゃんとこべえやから、我が家は安泰じゃ,嫁さんがしっかり者だから、我が家は安泰だ
自転車がしゅうじからでちきち、驚いた,自転車が小道から出てきて、驚いた
生涯で二回、しゅうたんなげることがあった,生涯で二回、悲しみに暮れることがあった
ちょっと走っただけやあに、翌日じゅわっと足に来た,ちょっと走っただけなのに、翌日じわっと足に来た
近ごろの若いもんは、しょうが足りん,近ごろの若いものは、性根が足りない
あんしは、一年中仕事んじょうしちょる,あの人は、一年中仕事ばかりしている
あんたなら、しょうがしれちょんから心配ねえ,あの人なら素性が分かってるから心配ない
しょうけに水を注ぐごと、金が残らん,竹ざるに水を注ぐように、金が残らない
こん子はしょうねがいい,この子は物覚えがいい
このひもはじょうびいから、荷づくりに使える,このひもは丈夫だから、荷づくりに使える
しょうれんは、冬場の遊びじゃった気がする,ビー玉は、冬場の遊びだった気がする
すいがんは、冬場の遊びじゃった気がする,ビー玉は、冬場の遊びだった気がする
今の鳴き声は、しょっくんのごたる,今の鳴き声は、ウシガエルのようだ
そげなこんじょうしよると、嫌われるで,そんなことばかりしてると、嫌われるよ
しょわしいんじゃがなあ、来週にしちくれんな,忙しいんだけどなあ、来週にしてくれないか
犬がまとわりついて、しょわしい,犬がまとわりついて、うるさい
あんしに任せちよか、しょわねえ,あの人に任せようか、心配ない
いつまでも改めんのやからしょわねえわ,いつまでも改めないんだからほっとこうよ
わしゃ、おいさんが入院したのをしらざった,わしは、おじさんが入院したのを知らなかった
父ちゃんは、仕事に、しらしんけん頑張る,父ちゃんは、仕事に、一生懸命頑張る
わしゃ子どもの頃から、しりあけどりじゃ,わしは子供のころから、飽きっぽい性格だ
グラウンドがじりいけん、今日の野球は中止じゃ,グラウンドがぬかるんでいるから、今日の野球は中止だ
しりかぶとが筋肉痛で自転車に乗れん,お尻が筋肉痛で自転車に乗れない
雨続きでしるしいし、洗濯物は乾かんし、やおねえで,雨続きで湿度が気持ち悪いし、洗濯物は乾かないし、やってられないよ
あんしはいっつも鼻をぐずぐず言わせて、しろしいがなあ,あの人はいつも鼻をぐずぐず言わせて、うっといしいよなあ
誰か、しわすわすれの幹事をやっちくれめえか,誰か、忘年会の幹事をやってくれないか
近所の小学生で、一番じをおぼゆるのが誰か,近所の小学生で一番勉強ができるのは誰か
客商売では、しんきねえ顔は禁物じゃ,客商売では、恥ずかしい顔は禁物だ
今日は、しんざみいけん、熱燗じゃ,今日は、心から寒いから、熱燗だ
蚊に刺されたぐらいでしんどするな,蚊に刺されたぐらいで騒ぐな
育児なんかしんのかちゅう態度じゃ困るで,育児なんか知らんという態度だと困るよ
アリがじんべらっと行列してパンくずを運びよる,アリが順序良く行列してパンくずを運んでいる
すいいミカンを、もう鳥がきちつつきよる,酸っぱいミカンを、もう鳥が来てつついている
まき割りをしよったら、すいばりが刺さった,まき割りをしていたら、トゲが刺さった
うちん猫はずうごろで、ネズミなんか捕らん,うちの猫は怠け者で、ネズミなんか捕らない
ずうそうな服装で歩きよると、笑わるるで,だらしない服装で歩いていると、笑われるよ
あんしはやたらにすうたく言うから嫌わるる,あの人はやたらにうそを言うから嫌われる
久住は、すうらいちめんススキの原っぱやった,久住は、あたり一面ススキの原っぱだった
台風の影響か、今年の稲は、すえが多い,台風の影響か、今年の稲は、身が入っていないもみが多い
すかんたらしい人ではないが、リーダーには不向き,好かない人ではないが、リーダーには不向き
ミカンは3個ずく、クリは10個ずくわけちょくれ,ミカンは3個ずつ、クリは10個ずつ分けてくれ
宿題せんずく遊びにいきよんのは、どん子かえ？,宿題しないまま遊びに行ってるのは、どの子かい？
風邪ひいたんじゃろう、ずくたんが痛い,風邪ひいたんだろう、頭が痛い
東京スカイツリーに上ったら、足がすくばるごたった,東京スカイツリーに上ったら、足がすくむようにあった
枕木とは、レールにすくるやつじゃ,枕木とは、レールに敷くやつだ
夏山でも、寒くてすくるることがある,夏山でも、寒くて縮こまることがある
日本の宇宙ロケットには、すこどんが少ない,日本の宇宙ロケットには、失敗が少ない
運動会の棒倒しでは、赤と白がすじょうむじょうじゃ,運動会の棒倒しでは、赤と白が入り乱れるようだ
雑草は、すっくりかえすと、後が生えんでいい,雑草は、ひっくり返すと、後が生えなくていい
そげなすったくろ言うてから、誰が相手にするかえ？,そんなおかしなことを言って、誰が相手するかい？
就職試験を受けたが、すったりじゃった,就職試験を受けたが、さっぱりだった
仲人が酔っ払って、披露宴がすっちゃんがっちゃんや,仲人が酔っ払って、披露宴がめちゃくちゃだ
あんやた、都合が悪うなると、すっとごついいはじむる,あの野郎、都合が悪くなると、うそごとを言い始める
あん社長は、小さい頃はすっとぼんじゃった,あの社長は、小さい頃は悪賢い男の子だった
町一番の美人は昔、すっとめろと言われよった,町一番の美人は昔、悪賢い女の子と言われてた
電力会社は国に、すっとろくの報告をしたらしい,電力会社は国に、うその報告をしたらしい
あんたまた、すっとんかわいいよんのやねえんな,あんたまた、でたらめ言ってるんじゃないのか
うちの母ちゃんは部屋を片付けんのじゃ、ずつねえがなあ,うちの母ちゃんは部屋を片付けないんだ、情けないよなあ
高校生になったとたんに、宿題が増えてずつねえ,高校生になったとたんに、宿題が増えて苦痛だ
テストの点が悪い理由をすっぺこっぺ言う,テストの点が悪い理由を、ああだこうだ言う
生ゴミをすつんから、カラスが集まる,生ゴミを捨てるから、カラスが集まる
ネコがスズメを狙うときは、ずぼうち近づく,ネコがスズメを狙うときは、這って近づく
本家の結婚式に呼ばれたんじゃけん、すばゆるこたならんで,本家の結婚式に呼ばれたのだから、ふざけたことするなよ
わしだけがすぼや,わしだけが補欠だ
あんしはすぼくせえところがあって頼りにならん,あの人は幼稚っぽいところがあって頼りにならない
村のはずれのすぼやねの家が文化財に指定された,村のはずれの草ぶき屋根の家が文化財に指定された
水泳教室にいきよる孫は風呂の中でも、すむ,水泳教室に行っている孫は風呂の中でも、潜る
今日のは、すもしれん会議じゃった,今日のは、くだらない会議だった
すもつくれんことせんで、手伝え,くだらないことしてないで、手伝え
練習試合はすらこじゃけど、負くると悔しい,練習試合は本気でない試合だけど、負けると悔しい
すらごつはエイプリルフールだけにしちょけ,空言はエイプリルフールだけにしておけ
あんしのすらたくは、ある意味天才的じゃ,あの人のうそは、ある意味天才的だ
証拠があんのに、すらとぼくんとは白々しい,証拠があるのに、空とぼけるとは白々しい
あんやた、ずりいのが顔に表われちょる,あの野郎、ずすいのが顔に表われてる
しっかりつかまっちょかんと、ずりくりおつるで,しっかりつかまっておかないと、ずり落ちるよ
順番に席をずる,順番に席を移動する
今度ばあちゃんにマッサージするなきゃねえ,今度ばあちゃんにマッサージするからね
うちん子は、綿あめの棒をいつまでもすわぶる,うちん子は、綿あめの棒をいつまでもしゃぶる
若い娘がそげえずんだるるもんじゃねえんで,若い娘がそんなにだらしない格好をするものではないんだよ
結婚式に着る服じゃが、ずんど気に入らん,結婚式に着る服だけど、あまり気に入らない
授業中におしゃべりすんな,授業中におしゃべりするな
朝のラジオ体操は、出席点呼すんのか,朝のラジオ体操は、出席点呼するのか
小せえ子をせがうのは、やめんか,小さい子をからかうのは、やめないか
飲み会で遅くなると、うちの玄関ドアはせかる,飲み会で遅くなると、うちの玄関ドアは閉まる
昔は、せきたんがんをたたいて魚を売っていた,昔は、石油缶をたたいて魚を売っていた
30キロすぎから腹がせいて、途中棄権した,30キロすぎから腹が痛くて、途中棄権した
わしゃ近ごろ酒を飲むと、ぜぜくる,わしは近ごろ酒を飲むと、下が回らなくなる
かわいい孫でも3時間もおると、せせろしい,かわいい孫でも3時間もいると、うるさい
明日はあん娘が遠くに引っ越す、せちいがなあ,明日はあの娘が遠くに引っ越す、切ないなあ
グラウンド5周走るのは、せちい,グラウンド5周走るのは、つらい
子どもがせっつくのは、あんたを好きやからで,こどもがつきまとうのは、あんたを好きだからだよ
夏は、せどを吹く風が涼しくて気持ちいい,夏は、裏口を吹く風が涼しくて気持ちいい
はよう支度せな、列車におくるるで,早く支度しないと、列車に遅れるよ
ゴール前の混戦から、こぼれ球をせりこむ,ゴール前の混戦から、こぼれ球を押し込む
坂が急やけん、自転車をせっち上った,坂が急だから、自転車を押して上った
車の掃除はせれれんなあ,車の掃除はしたくないんなあ
暑中見舞いの次は年賀状と、せんぐり書いて一年が過ぎる,暑中見舞いの次は年賀状と、順繰り書いて一年が過ぎる
いやがっちょるぞ、そげなことせんすな,嫌がっているぞ、そんなことしなさんな
朝いちばんに、せんちんに行く,朝いちばんに、トイレに行く
自動ドアが増え、せんちん育ちが減った,自動ドアが増え、開けっ放しにする人が減った
秋は、しらしんけん試験勉強せんならん,秋は、一生懸命試験勉強しないといけない
歳をとると、せんねさきのこともすぐ忘るる,歳をとると、つい先ほどのこともすぐ忘れる
こいじ終わったかと思えば、まだ借金があっち、そいじ参っちょるんじゃ,これで終わったかと思えば、まだ借金があって、それで参っているんだ
ぞうたんなこといってたら、日が暮れた,とりとめのないこといってたら、日が暮れた
そうちこ、先生はわしの初恋の人じゃった,そうですよ、先生はわしの初恋の人だった
そうちゃ、あんたん言う通りちゃ,そうだよ、あんたの言う通りだよ
そうてえ,そうです
そきある本をもっち、こききち読んじくりい,そこにある本を持って、こっち来て読んでくれ
朝飯の後に、牛乳はそげえ飲めんで,朝飯の後に、牛乳はそんなに飲めないよ
父ちゃんがそげんふうじゃき困るんじゃ,父ちゃんがそんな風だから困るんだ
洗車はそこらそんげでいいで,洗車は適当でいいよ
ジュース飲んじ、そしちケーキ食べち、ほいちゲームした誕生日,ジュース飲んで、そしてゲーム食べて、その上ゲームした誕生日
モモは丁寧に扱わんと、表面がそずる,モモは丁寧に扱わないと、表面が傷つく
前の走者を追い抜くときは、そつ通れ、そつ,前の走者を追い抜くときは、外通れ、外
お客さんが来るんと、そっここ散らばっちょるけん片づけて,お客さんが来るけど、そこここ散らばっているから片付けて
振袖を着た時は、そとがまにならんごとな,振袖を着た時は、つま先を外側に向けて歩かないようにな
父ちゃんはそとぼこりで、家ではおとなしい,父ちゃんは外で強く出る人で、家ではおとなしい
そばゆる前にグラウンドから引きあぐるぞ,雨が降り始める前にグラウンドから引き上げるぞ
天気のいい日には、海岸で網をそびく,天気のいい日には、海岸で網を振って伸ばす
父ちゃんも言い過ぎた、そやけど、母ちゃんが家出するこたないやろ,父ちゃんも言い過ぎた、そうだけど、母ちゃんが家出することないでしょ
丘のそらん家で改築を始めたのが見ゆる,丘の上の家で改築を始めたのが見える
そりき、あんたは仕事が長続きせんのじゃわ,それだから、あんたは仕事が長続きしないんだわ
金返せち言うたら、そりぎり顔見せん,金返せって言ったら、それっきり顔を見せない
被災地でそりくりかやる大臣がおったなあえ,被災地でそっくり返る大臣がいたなあ
それっちゃ、わしが前から言いたかったのは,それだよ、わしが前からいいたかったのは
寝ぼけてトイレに行ったら、浴衣ん裾がぞろびいちょった,寝ぼけてトイレに行ったら、浴衣の袖が引きずってた
普段はがさつやが、履物はそろゆん,普段はがさつだけど、履物は揃えない
わしがそんげ行くけん、あんたはそきおっちょって,わしはそっち行くから、あんたはそこ居てて
帰ってきち、そんなり寝ちしもうた,帰ってきて、そのまま寝てしまった
遠足の翌日に宿題がいっぱい出て、だいい,遠足の翌日に宿題がいっぱい出て、だるい
普段はたいらくこくけど、ヘビを見たらすぐ逃げる,普段は大言壮語を言うけど、ヘビを見たらすぐ逃げる
どしたんな、たえがねえ顔してから,どしたんだ、情けないかおしてから
あんしは体が大きいが、弁当箱もだおけじゃ,あの人は体が大きいが、弁当箱も大きい
キャンプするけん、たきもん集めてこい,キャンプするから、たき物集めてこい
古いタオルはたくねちょけ、車の掃除に使う,古いタオルは折り重ねておけ、車の掃除に使う
オクラがたけて硬くなった,オクラが成長しすぎて硬くなった
中秋の名月には、だごを作ってお供えする,中秋の名月には、団子を作ってお供えする
手首をたごかして、キーボードがうてん,手首を捻挫して、キーボードがうてない
子どものしたことじゃから、たすとよかろうに,子どものしたことだから、大目に見ると良いだろうに
打ち身は温泉にはいっち、たずると気持ちいい,打ち身は温泉に入って、温湿布すると気持ちい
あだだあ、さっき近所の人が交通事故に遭った,びっくりしたあ、さっき近所の人が交通事故に遭った
うちん犬は泥棒にも吠えん、ただんたろくじゃ,うちの犬は泥棒にも吠えない、役立たずだ
うちのじいさんは、だつを作って小遣いを稼ぎよった,うちのじいさんは、大きな袋を作って小遣いを稼ぎよった
そげなだっしもねえ格好で外に出ちゃいけん,そんなだらしない格好で外に出ちゃいけない
今日は、たっしゃごしらえしちょると思うたら山菜とりな,今日は、作業着着てると思ったら山菜とりか
生シイタケを乾燥したら、たったごしこか,生シイタケを乾燥したら、たったこれだけか
あんしがいいのは、たっぱいだけで,あの人のいいところは、体格だけだよ
今日は、いい天気たな,今日はいい天気ですね
そうたなあ,そうですねえ
よう見たら、たのん顔は、えーらしんで,よく見たら、狸の顔は、かわいらしいんだよ
だのもんをいっぱい食う牛が、いい肉牛になる,エサをいっぱい食う牛が、いい肉牛になる
隣の部屋、しゃあしいねえ,隣の部屋、うるさいねえ
タケノコ堀ったんじゃが、たぶるごたらもっちいくで,タケノコ掘ったんだけど、食べるようなら持って行くよ
キャビアは食べきるけど、高くて食べきらん,キャビアは食べられるけど、高くて食べられない
100点とって、母ちゃんをたまがらかす,100点とって、母ちゃんを驚かす
嫁に行った娘が孫を連れて、だまし帰ってきた,嫁に行った娘が孫を連れて、突然帰ってきた
この洗濯機は旧式じゃが、ようたまる,この洗濯機は旧式だけど、良く長持ちする
あんしの女房は和風美人たゆう,あの人の女房は和風美人とかよく言えたものだ
だらしい意見のじょうで、会議が進まん,だるい意見ばかりで、会議が進まない
だりかお前は,誰だお前は
今日はだりいがなあ,今日はだるいよなあ
だるいやっちゃのう,だるいやつだなあ
良く休んで、だりょぬくことが明日の活力につながる,良く休んで、疲れを抜くことが明日の活力につながる
いい年しち、たるをふるのはやめちょきよ,いい年して、寄って元気を出すのはやめておきなさい
ブーンちゅうて、だんごばちが飛んじきた,ブーンと言って、クマバチが飛んできた
政界を見ちょんと、大臣もだんだんじゃなあ,政界を見てると、大臣もいろいろだなあ
家が見つからん時は、人にたんぬるといい,家が見つからない時は、人を訪ねるといい
他人の病状をたんねほよくるのはよくねえで,他人の病状を悪意含んで尋ねるのは良くないよ
あんしが金メダルとれんかったんは、だんねんじゃ,あの人が金メダルとれなかったのは、残念だ
大分弁ちどげなんかち聞かれち困ったんち,大分弁ってどうなのかって聞かれて困ったって
今、東京にちいた,今、東京についた
映画を見に、兄ちゃんにちいちいく,映画を見に、兄ちゃんについていく
ちぇにあわん暴れ者で、言い聞かすのが難しい,手に負えない暴れ者で、言い聞かすのが難しい
気候がようなったが、ちかっとやるかえ？,気候が良くなったから、ちょっと一杯やるかい？
このところの厚さは、ちがわん異常気象で,このところの暑さは、間違いなく異常気象だ
それは方言ちこ,それは方言だってば
ちこんきでレコードを聴いていたのが懐かしいのお,蓄音機でレコードを聴いていたのが懐かしいなあ
シャツを一回洗濯しただけじちぢくる,シャツを一回しただけで縮む
今度おうたらちちまわす,今度会ったらぶん殴る
ちったあ考えちょくれ,少しは考えてくれ
